"farms","small.bui","high.bui","industry","fields","grassland","scrubby","deciduous","conifer","noisy","veg.cover"
"yes","no","no","no","yes","no","no","yes","no","no","R98"
"yes","no","no","no","no","yes","yes","no","no","no","R87"
"no","no","no","no","yes","no","yes","yes","no","no","R100"
"no","no","no","no","yes","no","yes","no","no","no","R100"
"no","no","no","yes","no","no","yes","no","no","no","R5"
"no","no","no","yes","no","yes","yes","no","no","yes","R5"
"no","no","no","yes","no","no","yes","no","no","no","R5"
"no","no","no","no","no","no","yes","yes","no","no","R100"
"yes","no","no","no","yes","no","no","yes","no","no","R93"
"no","no","no","no","yes","no","yes","yes","no","no","R100"
"no","no","no","no","yes","no","no","yes","no","no","R98"
"yes","no","no","no","yes","no","no","yes","no","no","R98"
"yes","no","no","no","yes","no","no","no","no","no","R93"
"no","yes","no","no","no","no","no","yes","yes","no","R87"
"yes","no","no","no","yes","no","yes","yes","no","no","R98"
"yes","no","yes","no","yes","no","yes","no","no","no","R93"
"yes","yes","no","no","no","yes","yes","yes","yes","no","R62"
"yes","yes","no","no","yes","no","yes","yes","no","no","R62"
"yes","no","no","yes","yes","no","yes","no","no","no","R87"
"no","yes","no","no","no","no","yes","yes","no","no","R87"
"no","no","no","no","no","no","no","yes","yes","no","R37"
"no","no","no","no","no","yes","yes","yes","yes","yes","R37"
"no","yes","yes","no","no","no","no","yes","no","yes","R37"
"yes","yes","no","no","no","no","yes","yes","no","no","R37"
"no","yes","no","yes","no","no","yes","yes","no","yes","R22"
"no","yes","yes","no","no","no","yes","yes","no","no","R37"
"no","yes","yes","no","no","no","no","yes","no","no","R22"
"no","yes","no","no","no","no","yes","yes","no","no","R22"
"no","no","yes","no","no","no","yes","yes","no","yes","R22"
"no","no","yes","no","no","yes","no","yes","no","yes","R22"
"yes","no","no","yes","no","no","yes","no","no","no","R22"
"yes","no","yes","no","no","no","no","yes","no","no","R37"
"yes","no","no","no","no","no","yes","yes","no","no","R37"
"no","no","no","yes","no","yes","yes","yes","no","no","R37"
"no","no","no","yes","no","no","yes","yes","no","yes","R5"
"no","yes","yes","no","no","yes","no","yes","yes","no","R62"
"no","yes","no","no","no","no","no","no","no","yes","R37"
"no","no","no","no","no","yes","yes","yes","no","no","R5"
"no","no","no","no","yes","no","yes","yes","yes","no","R87"
"no","yes","no","no","no","yes","no","yes","no","yes","R62"
"yes","no","no","no","no","no","yes","yes","no","no","R62"
"yes","no","no","no","yes","yes","yes","no","no","no","R93"
"yes","no","no","yes","no","yes","no","yes","no","yes","R5"
"no","no","no","no","yes","no","yes","yes","no","no","R98"
"yes","no","no","no","yes","no","no","no","yes","no","R98"
"yes","no","no","no","yes","no","no","yes","no","no","R98"
"yes","no","no","no","yes","yes","yes","yes","no","no","R93"
"yes","no","no","yes","yes","no","no","no","yes","no","R93"
"no","no","no","yes","yes","no","no","no","no","no","R5"
"no","no","no","yes","yes","no","no","no","no","no","R5"
"yes","no","no","no","yes","no","no","yes","no","no","R93"
